Particle ID,Particle,Energy Threshold,Energy Unit,Altitude (km),Latitude (deg),Longitude (deg),Year,Month,Day,Solar W Index,Solar Status,Cut-off Rigidity (GV),Atmospheric Depth (g/cm2),Geometry,Atmosphere Model,Continuum Flux (cm^-2 s^-1),511 keV Line Flux (cm^-2 s^-1),Total Flux (cm^-2 s^-1)
31,electron,0.3,MeV,10,28.7,-80.8,2019,5,27,8.4,1,4.6312,270.2145993,0.15,standard,0.5632100300160088,0,0.5632100300160088
31,electron,0.3,MeV,10.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,262.22410306,0.15,standard,0.5927334704215154,0,0.5927334704215154
31,electron,0.3,MeV,10.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,254.23360682,0.15,standard,0.6235273960954345,0,0.6235273960954345
31,electron,0.3,MeV,10.6,28.7,-80.8,2019,5,27,8.4,1,4.6312,246.4837636,0.15,standard,0.6546273545022107,0,0.6546273545022107
31,electron,0.3,MeV,10.8,28.7,-80.8,2019,5,27,8.4,1,4.6312,238.9745734,0.15,standard,0.6859351998362077,0,0.6859351998362077
31,electron,0.3,MeV,11,28.7,-80.8,2019,5,27,8.4,1,4.6312,231.4653832,0.15,standard,0.7184093370421395,0,0.7184093370421395
31,electron,0.3,MeV,11.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,224.47012996,0.15,standard,0.7497170846440743,0,0.7497170846440743
31,electron,0.3,MeV,11.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,217.47487672,0.15,standard,0.782047561567473,0,0.782047561567473
31,electron,0.3,MeV,11.6,28.7,-80.8,2019,5,27,8.4,1,4.6312,210.74474972,0.15,standard,0.8141197130453351,0,0.8141197130453351
31,electron,0.3,MeV,11.8,28.7,-80.8,2019,5,27,8.4,1,4.6312,204.27974896,0.15,standard,0.8458218872342368,0,0.8458218872342368
31,electron,0.3,MeV,12,28.7,-80.8,2019,5,27,8.4,1,4.6312,197.8147482,0.15,standard,0.8741972568079651,0,0.8741972568079651
31,electron,0.3,MeV,12.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,191.83513232,0.15,standard,0.899513965685085,0,0.899513965685085
31,electron,0.3,MeV,12.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,185.85551644,0.15,standard,0.925325776858907,0,0.925325776858907
31,electron,0.3,MeV,12.6,28.7,-80.8,2019,5,27,8.4,1,4.6312,180.10431698,0.15,standard,0.950630688249777,0,0.950630688249777
31,electron,0.3,MeV,12.8,28.7,-80.8,2019,5,27,8.4,1,4.6312,174.58153394,0.15,standard,0.9753929361170613,0,0.9753929361170613
31,electron,0.3,MeV,13,28.7,-80.8,2019,5,27,8.4,1,4.6312,169.0587509,0.15,standard,1.000640850685595,0,1.000640850685595
31,electron,0.3,MeV,13.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,163.95201214,0.15,standard,1.024463431679645,0,1.024463431679645
31,electron,0.3,MeV,13.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,158.84527338,0.15,standard,1.048807973506019,0,1.048807973506019
31,electron,0.3,MeV,13.6,28.7,-80.8,2019,5,27,8.4,1,4.6312,153.93228068,0.15,standard,1.072808786475416,0,1.072808786475416
31,electron,0.3,MeV,13.8,28.7,-80.8,2019,5,27,8.4,1,4.6312,149.21303404,0.15,standard,1.096514802925912,0,1.096514802925912
31,electron,0.3,MeV,14,28.7,-80.8,2019,5,27,8.4,1,4.6312,144.4937874,0.15,standard,1.111890988844587,0,1.111890988844587
31,electron,0.3,MeV,14.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,140.129402,0.15,standard,1.124543053730415,0,1.124543053730415
31,electron,0.3,MeV,14.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,135.7650166,0.15,standard,1.137075967926808,0,1.137075967926808
31,electron,0.3,MeV,14.6,28.7,-80.8,2019,5,27,8.4,1,4.6312,131.56582524,0.15,standard,1.149047601671085,0,1.149047601671085
31,electron,0.3,MeV,14.8,28.7,-80.8,2019,5,27,8.4,1,4.6312,127.53182792,0.15,standard,1.160508907840773,0,1.160508907840773
31,electron,0.3,MeV,15,28.7,-80.8,2019,5,27,8.4,1,4.6312,123.4978306,0.15,standard,1.171995115476778,0,1.171995115476778
31,electron,0.3,MeV,15.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,119.76974812,0.15,standard,1.182716240148881,0,1.182716240148881
31,electron,0.3,MeV,15.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,116.04166564,0.15,standard,1.193657419836347,0,1.193657419836347
31,electron,0.3,MeV,15.6,28.7,-80.8,2019,5,27,8.4,1,4.6312,112.454304,0.15,standard,1.204553584487281,0,1.204553584487281
31,electron,0.3,MeV,15.8,28.7,-80.8,2019,5,27,8.4,1,4.6312,109.0076632,0.15,standard,1.215468291486777,0,1.215468291486777
31,electron,0.3,MeV,16,28.7,-80.8,2019,5,27,8.4,1,4.6312,105.5610224,0.15,standard,1.217800398018118,0,1.217800398018118
31,electron,0.3,MeV,16.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,102.375428936,0.15,standard,1.219591801013298,0,1.219591801013298
31,electron,0.3,MeV,16.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,99.18983547200003,0.15,standard,1.221048254150987,0,1.221048254150987
31,electron,0.3,MeV,16.6,28.7,-80.8,2019,5,27,8.4,1,4.6312,96.12456852999998,0.15,standard,1.222159425485986,0,1.222159425485986
31,electron,0.3,MeV,16.8,28.7,-80.8,2019,5,27,8.4,1,4.6312,93.17962811,0.15,standard,1.222997632317292,0,1.222997632317292
31,electron,0.3,MeV,17,28.7,-80.8,2019,5,27,8.4,1,4.6312,90.23468769,0.15,standard,1.223668812517159,0,1.223668812517159
31,electron,0.3,MeV,17.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,87.51408483400002,0.15,standard,1.224214363404418,0,1.224214363404418
31,electron,0.3,MeV,17.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,84.79348197800002,0.15,standard,1.224790217248461,0,1.224790217248461
31,electron,0.3,MeV,17.6,28.7,-80.8,2019,5,27,8.4,1,4.6312,82.17485074199999,0.15,standard,1.225508502948919,0,1.225508502948919
31,electron,0.3,MeV,17.8,28.7,-80.8,2019,5,27,8.4,1,4.6312,79.65819112599999,0.15,standard,1.225749206014902,0,1.225749206014902
31,electron,0.3,MeV,18,28.7,-80.8,2019,5,27,8.4,1,4.6312,77.14153150999999,0.15,standard,1.21872379584616,0,1.21872379584616
31,electron,0.3,MeV,18.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,74.81249968200001,0.15,standard,1.212014367643581,0,1.212014367643581
31,electron,0.3,MeV,18.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,72.48346785400003,0.15,standard,1.205147530171083,0,1.205147530171083
31,electron,0.3,MeV,18.6,28.7,-80.8,2019,5,27,8.4,1,4.6312,70.24417104999999,0.15,standard,1.198453618357108,0,1.198453618357108
31,electron,0.3,MeV,18.8,28.7,-80.8,2019,5,27,8.4,1,4.6312,68.09460926999999,0.15,standard,1.192017299767828,0,1.192017299767828
31,electron,0.3,MeV,19,28.7,-80.8,2019,5,27,8.4,1,4.6312,65.94504748999999,0.15,standard,1.185672220164627,0,1.185672220164627
31,electron,0.3,MeV,19.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,63.95456144200001,0.15,standard,1.180003714162285,0,1.180003714162285
31,electron,0.3,MeV,19.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,61.96407539400001,0.15,standard,1.174705456593642,0,1.174705456593642
31,electron,0.3,MeV,19.6,28.7,-80.8,2019,5,27,8.4,1,4.6312,60.05108777999999,0.15,standard,1.170191440828687,0,1.170191440828687
31,electron,0.3,MeV,19.8,28.7,-80.8,2019,5,27,8.4,1,4.6312,58.21559859999999,0.15,standard,1.163910799758933,0,1.163910799758933
31,electron,0.3,MeV,20,28.7,-80.8,2019,5,27,8.4,1,4.6312,56.38010942,0.15,standard,1.15180810412113,0,1.15180810412113
31,electron,1,MeV,10,28.7,-80.8,2019,5,27,8.4,1,4.6312,270.2145993,0.15,standard,0.4858094963830593,0,0.4858094963830593
31,electron,1,MeV,10.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,262.22410306,0.15,standard,0.5113863692985963,0,0.5113863692985963
31,electron,1,MeV,10.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,254.23360682,0.15,standard,0.538097746984716,0,0.538097746984716
31,electron,1,MeV,10.6,28.7,-80.8,2019,5,27,8.4,1,4.6312,246.4837636,0.15,standard,0.5651124168518072,0,0.5651124168518072
31,electron,1,MeV,10.8,28.7,-80.8,2019,5,27,8.4,1,4.6312,238.9745734,0.15,standard,0.5923491145831877,0,0.5923491145831877
31,electron,1,MeV,11,28.7,-80.8,2019,5,27,8.4,1,4.6312,231.4653832,0.15,standard,0.6206479420969219,0,0.6206479420969219
31,electron,1,MeV,11.2,28.7,-80.8,2019,5,27,8.4,1,4.6312,224.47012996,0.15,standard,0.6479798866259282,0,0.6479798866259282
31,electron,1,MeV,11.4,28.7,-80.8,2019,5,27,8.4,1,4.6312,217.47487672,0.15,standard,0.676260014274797,0,0.676260014274797
